sessionId,gameId,roundId,playerId,condition,gameState,envState,playerEconState,playerType,playerInvestEcon,playerInvestEnv,playerInvHistEcon,playerInvHistEnv,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor,mood
"151153NAR['CC', 'CC', 'CI']",1,0,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.47,0.13,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,4,1,4,1,Disappointment,4.56,0.00,1.59,0.00,0.00,0.00,0.00,0.00,4.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.66,0.00,0.00,0.00,0.00,0.00,-1.47
"151153NAR['CC', 'CC', 'CI']",1,0,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.47,0.06999999,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,3,2,3,2,Disappointment,4.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.22,0.00,0.00,0.00,0.00,1.90,0.00,0.00,0.00,1.66,0.00,0.00,0.00,0.00,0.00,0.00
"151153NAR['CC', 'CC', 'CI']",1,0,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.47,0.1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,2,3,Disappointment,4.56,0.00,1.59,0.00,0.00,0.00,0.00,0.00,4.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.66,0.00,0.00,0.00,0.00,0.00,-1.47
"151153NAR['CC', 'CC', 'CI']",1,1,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.63,0.13,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,4,6,Reproach,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00,-1.62
"151153NAR['CC', 'CC', 'CI']",1,1,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.63,0.06999999,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,1,4,4,6,Admiration,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,0.00,0.00,1.66,0.35,0.00,0.00,0.00,0.00,1.20
"151153NAR['CC', 'CC', 'CI']",1,1,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.63,0.17,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,3,2,7,3,Reproach,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00,-1.62
"151153NAR['CC', 'CC', 'CI']",1,2,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.54,0.07,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,8,7,Admiration,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.23,0.00,0.00,0.00,1.96,0.74,0.00,0.00,0.00,0.00,2.57
"151153NAR['CC', 'CC', 'CI']",1,2,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.54,0.14,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,3,2,10,5,Reproach,2.04,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.26,0.00,0.00,0.00,0.00,0.00,-1.79
"151153NAR['CC', 'CC', 'CI']",1,2,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.54,0.12,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,3,2,7,8,Reproach,2.04,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.26,0.00,0.00,0.00,0.00,0.00,-1.79
"151153NAR['CC', 'CC', 'CI']",1,3,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.46,0.19,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,12,8,Admiration,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.62,0.00,0.00,0.00,2.30,1.19,0.00,0.00,0.00,0.00,4.12
