sessionId,gameId,roundId,playerId,condition,gameState,envState,playerEconState,playerType,playerInvestEcon,playerInvestEnv,playerInvHistEcon,playerInvHistEnv,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor,mood
"130957OPB['CC', 'CC', 'CI']",1,0,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.57,0.09,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,2,3,Admiration,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.25,0.00,0.00,0.00,1.66,0.00,0.00,0.00,0.00,0.00,2.64
"130957OPB['CC', 'CC', 'CI']",1,0,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.57,0.08,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,2,3,Admiration,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.25,0.00,0.00,0.00,1.66,0.00,0.00,0.00,0.00,0.00,2.64
"130957OPB['CC', 'CC', 'CI']",1,0,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.57,0.22,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,4,1,Reproach,1.90,0.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.66,0.00,0.00,0.00,0.00,0.00,-1.21
"130957OPB['CC', 'CC', 'CI']",1,1,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.5599999,0.2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,2,3,6,4,Reproach,2.29,0.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.36,0.00,0.00,0.00,0.00,0.00,-2.79
"130957OPB['CC', 'CC', 'CI']",1,1,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.5599999,0.11,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,4,6,Admiration,3.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.14,0.00,0.00,0.00,2.32,0.00,0.00,0.00,0.00,0.00,6.20
"130957OPB['CC', 'CC', 'CI']",1,1,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.5599999,0.15,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,4,1,6,4,Admiration,3.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.14,0.00,0.00,0.00,2.32,0.00,0.00,0.00,0.00,0.00,6.20
"130957OPB['CC', 'CC', 'CI']",1,2,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.51,0.13,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,1,4,7,8,Reproach,2.82,0.00,2.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.00,0.00,-4.92
"130957OPB['CC', 'CC', 'CI']",1,3,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.5,0.31,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,4,1,13,7,Admiration,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.07,0.00,0.00,0.00,0.00,0.00,9.66
"130957OPB['CC', 'CC', 'CI']",1,3,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.5,0.33,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,5,0,15,5,Admiration,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.07,0.00,0.00,0.00,0.00,0.00,9.66
"130957OPB['CC', 'CC', 'CI']",1,2,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.51,0.27,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,4,1,10,5,Admiration,4.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.33,0.00,0.00,0.00,3.21,0.00,0.00,0.00,0.00,0.00,9.66
"130957OPB['CC', 'CC', 'CI']",1,2,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.51,0.17,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,5,0,9,6,Admiration,4.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.33,0.00,0.00,0.00,3.21,0.00,0.00,0.00,0.00,0.00,9.66
"130957OPB['CC', 'CC', 'CI']",1,3,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.5,0.09,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,1,4,8,12,Reproach,3.53,0.00,3.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,-7.79
"130957OPB['CC', 'CC', 'CI']",1,4,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.4,0.39,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,5,0,18,7,Admiration,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.07,0.00,0.00,0.00,0.00,0.00,9.66
"130957OPB['CC', 'CC', 'CI']",1,4,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.4,0.06,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,8,17,Reproach,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"130957OPB['CC', 'CC', 'CI']",1,4,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.4,0.39,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,5,0,20,5,Admiration,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.07,0.00,0.00,0.00,0.00,0.00,9.66
"130957OPB['CC', 'CC', 'CI']",1,5,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.27,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,8,22,Reproach,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"130957OPB['CC', 'CC', 'CI']",1,5,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.27,0.4900001,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,5,0,25,5,Admiration,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.07,0.00,0.00,0.00,0.00,0.00,9.66
"130957OPB['CC', 'CC', 'CI']",1,5,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.27,0.39,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,5,0,23,7,Admiration,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.07,0.00,0.00,0.00,0.00,0.00,9.66
"130957OPB['CC', 'CC', 'CI']",1,6,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.24,0.47,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,5,0,28,7,Admiration,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.07,0.00,0.00,0.00,0.00,0.00,9.66
"130957OPB['CC', 'CC', 'CI']",1,6,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.24,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,8,27,Reproach,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"130957OPB['CC', 'CC', 'CI']",1,7,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.17,0.51,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,5,0,33,7,Admiration,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.07,0.00,0.00,0.00,0.00,0.00,9.66
"130957OPB['CC', 'CC', 'CI']",1,6,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.24,0.6200001,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,5,0,30,5,Admiration,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.07,0.00,0.00,0.00,0.00,0.00,9.66
"130957OPB['CC', 'CC', 'CI']",1,7,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.17,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,8,32,Reproach,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
