currSessionId,currGameId,currGameRoundId,currGamePhase,playerId,playerType,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,0,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Joy,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.91,0.00,0.00,0.00,0.00,0.00
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,1,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Reproach,5.75,0.00,5.75,0.00,0.00,0.00,0.00,0.00,5.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,2,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Reproach,7.48,0.00,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,3,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Reproach,7.48,0.00,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,4,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Reproach,7.48,0.00,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,6,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Reproach,7.48,0.00,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,5,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Reproach,7.48,0.00,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,7,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Reproach,7.48,0.00,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,8,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Reproach,7.48,0.00,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,10,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Reproach,7.48,0.00,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,9,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Reproach,7.48,0.00,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,11,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Reproach,7.48,0.00,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,12,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Reproach,7.48,0.00,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,13,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Reproach,7.48,0.00,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
