sessionId,gameId,roundId,playerId,condition,gameState,envState,playerEconState,playerName,playerType,playerInvestEcon,playerInvestEnv,playerInvHistEcon,playerInvHistEnv,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor,mood
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,0,0,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.33,0.09,MCTS,AI-MCTS,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,0,2,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.33,0,RANDOM,AI-RANDOM,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,1,0,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.32,0.01000001,MCTS,AI-MCTS,0,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,0,1,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.33,0.12,RANDOM,AI-RANDOM,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,1,2,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.32,0.05999999,RANDOM,AI-RANDOM,5,0,6,4,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,1,1,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.32,0.08,RANDOM,AI-RANDOM,2,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,2,2,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.1199999,0.05999999,RANDOM,AI-RANDOM,2,3,8,7,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,2,0,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.1199999,0,MCTS,AI-MCTS,3,2,6,9,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,2,1,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.1199999,0.14,RANDOM,AI-RANDOM,5,0,11,4,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,3,1,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.1099999,0.11,RANDOM,AI-RANDOM,4,1,15,5,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,3,2,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.1099999,0,RANDOM,AI-RANDOM,0,5,8,12,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,3,0,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.1099999,0,MCTS,AI-MCTS,2,3,8,12,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,4,0,"['MCTS', 'RANDOM', 'RANDOM']",LOSS,0,0.11,MCTS,AI-MCTS,5,0,10,15,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,4,1,"['MCTS', 'RANDOM', 'RANDOM']",LOSS,0,0.16,RANDOM,AI-RANDOM,5,0,20,5,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",1,4,2,"['MCTS', 'RANDOM', 'RANDOM']",LOSS,0,0.02,RANDOM,AI-RANDOM,4,1,12,13,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,0,2,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.33,0.05000001,RANDOM,AI-RANDOM,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,0,1,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.33,0,RANDOM,AI-RANDOM,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,0,0,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.33,0.2,RANDOM_CMP,AI-RANDOM,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,1,2,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.21,0.18,RANDOM,AI-RANDOM,5,0,9,1,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,1,1,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.21,0.02,RANDOM,AI-RANDOM,5,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
