currSessionId,currGameId,currRoundId,playerId,playerType,playerCurrInvestEcon,playerCurrInvestEnv,playerEconState,envState
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,0.2,0.6800001
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,0,AI-RANDOM,AI-RANDOM,0,5,0.04,0.6800001
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,0,AI-RANDOM,AI-RANDOM,1,4,0.08,0.6800001
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,1,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,3,2,0.25,0.75
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,1,AI-RANDOM,AI-RANDOM,0,5,0.009999998,0.75
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,1,AI-RANDOM,AI-RANDOM,2,3,0.02,0.75
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,2,AI-RANDOM,AI-RANDOM,0,5,0,0.78
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,0.28,0.78
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,2,AI-RANDOM,AI-RANDOM,0,5,0,0.78
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,3,AI-RANDOM,AI-RANDOM,4,1,0.09,0.55
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,3,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,0.4,0.55
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,3,AI-RANDOM,AI-RANDOM,5,0,0.14,0.55
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,4,AI-RANDOM,AI-RANDOM,4,1,0.2,0.33
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,4,AI-RANDOM,AI-RANDOM,4,1,0.22,0.33
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,4,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,0.52,0.33
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,5,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,0.59,0.4299999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,6,AI-RANDOM,AI-RANDOM,2,3,0.13,0.5799999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,5,AI-RANDOM,AI-RANDOM,0,5,0.13,0.4299999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,5,AI-RANDOM,AI-RANDOM,2,3,0.2900001,0.4299999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,6,AI-RANDOM,AI-RANDOM,2,3,0.27,0.5799999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,6,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,0.65,0.5799999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,7,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,0.77,0.6099999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,7,AI-RANDOM,AI-RANDOM,1,4,0.2400001,0.6099999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,7,AI-RANDOM,AI-RANDOM,3,2,0.18,0.6099999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,8,AI-RANDOM,AI-RANDOM,1,4,0.1800001,0.5199999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,8,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,0.9,0.5199999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,8,AI-RANDOM,AI-RANDOM,3,2,0.17,0.5199999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,9,AI-RANDOM,AI-RANDOM,3,2,0.1600001,0.2899999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,10,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,0.93,0.1799999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,9,AI-RANDOM,AI-RANDOM,5,0,0.35,0.2899999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,9,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,0.91,0.2899999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,10,AI-RANDOM,AI-RANDOM,4,1,0.2400001,0.1799999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,11,AI-RANDOM,AI-RANDOM,4,1,0.42,0.18
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,11,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,0.92,0.18
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,10,AI-RANDOM,AI-RANDOM,2,3,0.35,0.1799999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,11,AI-RANDOM,AI-RANDOM,0,5,0.14,0.18
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,12,AI-RANDOM,AI-RANDOM,3,2,0.5,0.15
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,12,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,0.92,0.15
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,12,AI-RANDOM,AI-RANDOM,4,1,0.24,0.15
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,13,AI-RANDOM,AI-RANDOM,1,4,0.41,0.14
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,13,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,0.96,0.14
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,13,AI-RANDOM,AI-RANDOM,4,1,0.2800001,0.14
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,14,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,0.9,0.1999999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,14,AI-RANDOM,AI-RANDOM,1,4,0.2400001,0.1999999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,14,AI-RANDOM,AI-RANDOM,2,3,0.38,0.1999999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,15,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,0.97,0.2299999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,15,AI-RANDOM,AI-RANDOM,2,3,0.37,0.2299999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,15,AI-RANDOM,AI-RANDOM,2,3,0.2200001,0.2299999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,16,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,0.91,0.2399999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,16,AI-RANDOM,AI-RANDOM,0,5,0.1300001,0.2399999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,17,AI-RANDOM,AI-RANDOM,1,4,0.32,0.2999999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,16,AI-RANDOM,AI-RANDOM,3,2,0.35,0.2399999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,17,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,3,2,0.91,0.2999999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,17,AI-RANDOM,AI-RANDOM,4,1,0.2,0.2999999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,18,AI-RANDOM,AI-RANDOM,5,0,0.3100001,0.3199999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,18,AI-RANDOM,AI-RANDOM,1,4,0.29,0.3199999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,18,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,0.91,0.3199999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,19,AI-RANDOM,AI-RANDOM,4,1,0.35,0.2999999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,19,AI-RANDOM,AI-RANDOM,1,4,0.3000001,0.2999999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,19,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,0.93,0.2999999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,20,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,0.89,0.2899999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,20,AI-RANDOM,AI-RANDOM,2,3,0.36,0.2899999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,21,AI-RANDOM,AI-RANDOM,2,3,0.35,0.2899999
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,20,AI-RANDOM,AI-RANDOM,4,1,0.3500001,0.2899999
