sessionId,currGameId,condition,outcome,env_state,playerId,pos,type,econ_state,econ_history_perc,env_history_perc,num_played_rounds
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",1,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.03000003,0,0,AI_RANDOM,0.9399999,88,67,31
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",1,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.03000003,1,1,AI_RANDOM,0.03000005,85,70,31
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",1,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.03000003,2,2,AI_RANDOM,-0.41,85,70,31
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",2,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1600001,2,1,AI_RANDOM,0.11,6,4,2
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",2,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1600001,1,2,AI_RANDOM,0.1,7,3,2
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",2,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1600001,0,0,AI_RANDOM,0.21,7,3,2
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",3,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1199998,2,2,AI_RANDOM,-0.07000004,25,35,12
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",3,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1199998,0,0,AI_RANDOM,0.5999999,39,21,12
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",3,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1199998,1,1,AI_RANDOM,0.3099999,40,20,12
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",4,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.33,0,0,AI_RANDOM,0.29,10,0,2
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",4,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.33,2,1,AI_RANDOM,0.21,9,1,2
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",4,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.33,1,2,AI_RANDOM,0.07000001,8,2,2
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",5,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.08000001,0,1,AI_RANDOM,0.09,14,11,5
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",5,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.08000001,1,0,AI_RANDOM,0.18,17,8,5
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",5,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.08000001,2,2,AI_RANDOM,-0.01000001,12,13,5
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",6,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.03000043,0,0,AI_RANDOM,0.51,227,163,78
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",6,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.03000043,2,2,AI_RANDOM,2.980232E-08,193,197,78
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",6,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.03000043,1,1,AI_RANDOM,0.3100001,218,172,78
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",7,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,4.219998,2,2,AI_RANDOM,-0.7799997,477,528,201
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",7,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,4.219998,0,1,AI_RANDOM,0.4000001,497,508,201
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",7,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,4.219998,1,0,AI_RANDOM,0.7799997,492,513,201
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",8,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-6.854534E-07,2,0,AI_RANDOM,1.43,84,46,26
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",8,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-6.854534E-07,1,2,AI_RANDOM,-0.2399999,71,59,26
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",8,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-6.854534E-07,0,1,AI_RANDOM,0.12,58,72,26
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",9,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1900063,1,0,AI_RANDOM,2.590001,496,399,179
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",9,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1900063,0,2,AI_RANDOM,-1.31,430,465,179
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",9,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1900063,2,1,AI_RANDOM,-0.5999999,455,440,179
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",10,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.009999841,2,0,AI_RANDOM,0.52,58,47,21
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",10,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.009999841,1,1,AI_RANDOM,-0.3,49,56,21
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",10,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.009999841,0,2,AI_RANDOM,-0.39,53,52,21
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",11,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,2.519994,0,1,AI_RANDOM,0.3900004,486,519,201
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",11,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,2.519994,1,2,AI_RANDOM,-0.5499998,496,509,201
