currSessionId,currGameId,currGameCondition,currGameRoundId,currGamePhase,playerId,playerType,mood
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,"['CC', 'RANDOM', 'RANDOM']",0,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.59
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,"['CC', 'RANDOM', 'RANDOM']",1,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,6.58
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,"['CC', 'RANDOM', 'RANDOM']",2,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,"['CC', 'RANDOM', 'RANDOM']",3,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,"['CC', 'RANDOM', 'RANDOM']",4,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,"['CC', 'RANDOM', 'RANDOM']",5,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,"['CC', 'RANDOM', 'RANDOM']",6,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,"['CC', 'RANDOM', 'RANDOM']",7,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,"['CC', 'RANDOM', 'RANDOM']",8,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",1,"['CC', 'RANDOM', 'RANDOM']",9,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
