sessionId,currGameId,condition,outcome,env_state,playerId_0_pos,playerId_0_type,playerId_0_econ_state,playerId_0_econ_history_perc,playerId_0_env_history_perc,playerId_1_pos,playerId_1_type,playerId_1_econ_state,playerId_1_econ_history_perc,playerId_1_env_history_perc,playerId_2_pos,playerId_2_type,playerId_2_econ_state,playerId_2_econ_history_perc,playerId_2_env_history_perc
"042038KKZ['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CI']",VICTORY,1,2,Competitive,0,0.05,0.95,1,Competitive,0,0.05,0.95,0,Competitive,0.2,0.3,0.7
"042038KKZ['CC', 'CC', 'CI']",2,"['CC', 'CC', 'DC']",VICTORY,1,0,Competitive,0,0,1,1,Competitive,0,0,1,2,Cooperative,0,0.05,0.95
"042038KKZ['CC', 'CC', 'CI']",3,"['CC', 'CC', 'DI']",VICTORY,0.55,2,Competitive,0,0.05,0.95,1,Competitive,0,0.05,0.95,0,Cooperative,0.26,0.5,0.5
"042038KKZ['CC', 'CC', 'CI']",4,"['CC', 'CC', 'RANDOM']",VICTORY,0.65,2,Competitive,0,0,1,1,Competitive,0,0.1,0.9,0,AIPlayerRandom,0.52,0.85,0.15
"042038KKZ['CC', 'CC', 'CI']",5,"['CC', 'CI', 'CI']",VICTORY,0.19,2,Competitive,0,0.05,0.95,1,Competitive,0.22,0.55,0.45,0,Competitive,0.25,0.65,0.35
"042038KKZ['CC', 'CC', 'CI']",6,"['CC', 'CI', 'DC']",VICTORY,0.89,1,Competitive,0,0.05,0.95,0,Competitive,0.17,0.45,0.55,2,Cooperative,0,0,1
"042038KKZ['CC', 'CC', 'CI']",7,"['CC', 'CI', 'DI']",VICTORY,0.9699999,2,Competitive,0,0,1,1,Competitive,0.05,0.25,0.75,0,Cooperative,0.18,0.4,0.6
"042038KKZ['CC', 'CC', 'CI']",8,"['CC', 'CI', 'RANDOM']",VICTORY,0.7399999,2,Competitive,0,0.1,0.9,1,Competitive,0.09,0.35,0.65,0,AIPlayerRandom,0.12,0.5,0.5
"042038KKZ['CC', 'CC', 'CI']",9,"['CC', 'DC', 'DC']",VICTORY,0.8099999,0,Competitive,0,0.1,0.9,1,Cooperative,0,0,1,2,Cooperative,0,0.05,0.95
"042038KKZ['CC', 'CC', 'CI']",10,"['CC', 'DC', 'DI']",VICTORY,0.76,2,Competitive,0,0.1,0.9,1,Cooperative,0,0.1,0.9,0,Cooperative,0.06999999,0.4,0.6
"042038KKZ['CC', 'CC', 'CI']",11,"['CC', 'DC', 'RANDOM']",VICTORY,1,2,Competitive,0,0.05,0.95,1,Cooperative,0,0,1,0,AIPlayerRandom,0.02999999,0.3,0.7
"042038KKZ['CC', 'CC', 'CI']",12,"['CC', 'DI', 'DI']",VICTORY,0.3600001,2,Competitive,0,0.2,0.8,0,Cooperative,0.15,0.55,0.45,1,Cooperative,0.06999999,0.25,0.75
"042038KKZ['CC', 'CC', 'CI']",13,"['CC', 'DI', 'RANDOM']",VICTORY,0.8199999,2,Competitive,0,0,1,0,Cooperative,0.06,0.25,0.75,1,AIPlayerRandom,0.02,0.35,0.65
"042038KKZ['CC', 'CC', 'CI']",14,"['CC', 'RANDOM', 'RANDOM']",VICTORY,0.39,2,Competitive,0,0.05,0.95,1,AIPlayerRandom,0,0.3,0.7,0,AIPlayerRandom,0.31,0.55,0.45
