sessionId,currGameId,Id,Name,type
,1,2,CI,
,1,0,CC,
,1,1,CC,
,2,1,CC,
,2,0,CC,
,2,2,DC,
,3,2,DI,
,3,1,CC,
,3,0,CC,
,4,0,CC,
,4,2,RANDOM,
,4,1,CC,
,5,0,CC,
,5,1,CI,
,5,2,CI,
,6,0,CC,
,6,1,CI,
,6,2,DC,
,7,2,DI,
,7,1,CI,
,7,0,CC,
,8,0,CC,
,8,2,RANDOM,
,8,1,CI,
,9,0,CC,
,9,2,DC,
,9,1,DC,
,10,1,DC,
,10,0,CC,
,10,2,DI,
,11,1,DC,
,11,0,CC,
,11,2,RANDOM,
,12,1,DI,
,12,0,CC,
,12,2,DI,
,13,0,CC,
,13,1,DI,
,13,2,RANDOM,
,14,1,RANDOM,
,14,2,RANDOM,
,14,0,CC,
,15,2,CI,
,15,0,CI,
,15,1,CI,
,16,0,CI,
,16,1,CI,
,16,2,DC,
,17,0,CI,
,17,1,CI,
,17,2,DI,
,18,2,RANDOM,
,18,1,CI,
,18,0,CI,
,19,2,DC,
,19,0,CI,
,19,1,DC,
,20,2,DI,
,20,0,CI,
,20,1,DC,
,21,0,CI,
,21,1,DC,
,21,2,RANDOM,
,22,0,CI,
,22,1,DI,
,22,2,DI,
,23,2,RANDOM,
,23,1,DI,
,23,0,CI,
,24,1,RANDOM,
,24,2,RANDOM,
,24,0,CI,
,25,1,DC,
,25,0,DC,
,25,2,DC,
,26,0,DC,
,26,2,DI,
,26,1,DC,
,27,0,DC,
,27,1,DC,
,27,2,RANDOM,
,28,0,DC,
,28,1,DI,
,28,2,DI,
,29,0,DC,
,29,2,RANDOM,
,29,1,DI,
,30,0,DC,
,30,1,RANDOM,
,30,2,RANDOM,
,31,0,DI,
,31,2,DI,
,31,1,DI,
,32,1,DI,
,32,0,DI,
,32,2,RANDOM,
,33,2,RANDOM,
,33,1,RANDOM,
,33,0,DI,
,34,1,RANDOM,
,34,2,RANDOM,
,34,0,RANDOM,
,35,0,CC,
,35,2,CC,
,35,1,CC,
,36,2,CI,
,36,0,CC,
,36,1,CC,
,37,1,CC,
,37,2,DC,
,37,0,CC,
,38,1,CC,
,38,2,DI,
,38,0,CC,
,39,1,CC,
,39,2,RANDOM,
,39,0,CC,
,40,1,CI,
,40,0,CC,
,40,2,CI,
,41,0,CC,
,41,2,DC,
,41,1,CI,
,42,2,DI,
,42,0,CC,
,42,1,CI,
,43,2,RANDOM,
,43,0,CC,
,43,1,CI,
,44,2,DC,
,44,1,DC,
,44,0,CC,
,45,2,DI,
,45,1,DC,
,45,0,CC,
,46,1,DC,
,46,2,RANDOM,
,46,0,CC,
,47,1,DI,
,47,0,CC,
,47,2,DI,
,48,0,CC,
,48,2,RANDOM,
,48,1,DI,
,49,2,RANDOM,
,49,0,CC,
,49,1,RANDOM,
,50,2,CI,
,50,0,CI,
,50,1,CI,
,51,1,CI,
,51,0,CI,
,51,2,DC,
,52,1,CI,
,52,2,DI,
,52,0,CI,
,53,0,CI,
,53,2,RANDOM,
,53,1,CI,
,54,1,DC,
,54,0,CI,
,54,2,DC,
,55,0,CI,
,55,2,DI,
,55,1,DC,
,56,1,DC,
,56,0,CI,
,56,2,RANDOM,
,57,0,CI,
,57,2,DI,
,57,1,DI,
,58,0,CI,
,58,1,DI,
,58,2,RANDOM,
,59,1,RANDOM,
,59,2,RANDOM,
,59,0,CI,
,60,0,DC,
,60,1,DC,
,60,2,DC,
,61,1,DC,
,61,0,DC,
,61,2,DI,
,62,1,DC,
,62,2,RANDOM,
,62,0,DC,
,63,1,DI,
,63,2,DI,
,63,0,DC,
,64,1,DI,
,64,2,RANDOM,
,64,0,DC,
,65,2,RANDOM,
,65,1,RANDOM,
,65,0,DC,
,66,0,DI,
,66,1,DI,
,66,2,DI,
,67,2,RANDOM,
,67,1,DI,
,67,0,DI,
,68,0,DI,
,68,2,RANDOM,
,68,1,RANDOM,
,69,1,RANDOM,
,69,0,RANDOM,
,69,2,RANDOM,
,70,0,CC,
,70,2,CC,
,70,1,CC,
,71,0,CC,
,71,2,CI,
,71,1,CC,
,72,0,CC,
,72,1,CC,
,72,2,DC,
,73,1,CC,
,73,2,DI,
,73,0,CC,
,74,1,CC,
,74,0,CC,
,74,2,RANDOM,
,75,1,CI,
,75,0,CC,
,75,2,CI,
,76,0,CC,
,76,2,DC,
,76,1,CI,
,77,2,DI,
,77,1,CI,
,77,0,CC,
,78,0,CC,
,78,2,RANDOM,
,78,1,CI,
,79,0,CC,
,79,1,DC,
,79,2,DC,
,80,0,CC,
,80,1,DC,
,80,2,DI,
,81,0,CC,
,81,2,RANDOM,
,81,1,DC,
,82,1,DI,
,82,2,DI,
,82,0,CC,
,83,2,RANDOM,
,83,0,CC,
,83,1,DI,
,84,2,RANDOM,
,84,0,CC,
,84,1,RANDOM,
,85,2,CI,
,85,1,CI,
,85,0,CI,
,86,2,DC,
,86,0,CI,
,86,1,CI,
,87,2,DI,
,87,1,CI,
,87,0,CI,
,88,0,CI,
,88,2,RANDOM,
,88,1,CI,
,89,2,DC,
,89,1,DC,
,89,0,CI,
,90,1,DC,
,90,0,CI,
,90,2,DI,
,91,0,CI,
,91,2,RANDOM,
,91,1,DC,
,92,2,DI,
,92,0,CI,
,92,1,DI,
,93,1,DI,
,93,0,CI,
,93,2,RANDOM,
,94,1,RANDOM,
,94,0,CI,
,94,2,RANDOM,
,95,1,DC,
,95,0,DC,
,95,2,DC,
,96,0,DC,
,96,2,DI,
,96,1,DC,
,97,0,DC,
,97,1,DC,
,97,2,RANDOM,
,98,1,DI,
,98,0,DC,
,98,2,DI,
,99,1,DI,
,99,2,RANDOM,
,99,0,DC,
,100,1,RANDOM,
,100,2,RANDOM,
,100,0,DC,
,101,0,DI,
,101,1,DI,
,101,2,DI,
,102,0,DI,
,102,2,RANDOM,
,102,1,DI,
,103,0,DI,
,103,1,RANDOM,
,103,2,RANDOM,
,104,0,RANDOM,
,104,1,RANDOM,
,104,2,RANDOM,
,105,0,CC,
,105,1,CC,
,105,2,CC,
,106,1,CC,
,106,0,CC,
,106,2,CI,
,107,2,DC,
,107,1,CC,
,107,0,CC,
,108,1,CC,
,108,2,DI,
,108,0,CC,
,109,2,RANDOM,
,109,0,CC,
,109,1,CC,
,110,1,CI,
,110,2,CI,
,110,0,CC,
,111,1,CI,
,111,0,CC,
,111,2,DC,
,112,1,CI,
,112,2,DI,
,112,0,CC,
,113,0,CC,
,113,2,RANDOM,
,113,1,CI,
,114,2,DC,
,114,0,CC,
,114,1,DC,
,115,0,CC,
,115,2,DI,
,115,1,DC,
,116,1,DC,
,116,0,CC,
,116,2,RANDOM,
,117,2,DI,
,117,0,CC,
,117,1,DI,
,118,1,DI,
,118,2,RANDOM,
,118,0,CC,
,119,2,RANDOM,
,119,0,CC,
,119,1,RANDOM,
