sessionId,currGameId,Id,Name,type
,1,0,SamG,
,1,1,SamG2,
,1,2,SamG3,
,2,0,SamG,
,2,1,SamG2,
,2,2,SamG3,
,3,1,SamG2,
,3,2,SamG3,
,3,0,SamG,
,4,1,SamG2,
,4,2,SamG3,
,4,0,SamG,
,5,2,SamG3,
,5,0,SamG,
,5,1,SamG2,
,6,0,SamG,
,6,2,SamG3,
,6,1,SamG2,
,7,0,SamG,
,7,1,SamG2,
,7,2,SamG3,
,8,2,SamG3,
,8,1,SamG2,
,8,0,SamG,
,9,1,SamG2,
,9,2,SamG3,
,9,0,SamG,
,10,1,SamG2,
,10,2,SamG3,
,10,0,SamG,
,11,0,SamG,
,11,2,SamG3,
,11,1,SamG2,
,12,1,SamG2,
,12,2,SamG3,
,12,0,SamG,
,13,2,SamG3,
,13,1,SamG2,
,13,0,SamG,
,14,1,SamG2,
,14,2,SamG3,
,14,0,SamG,
,15,2,SamG3,
,15,0,SamG,
,15,1,SamG2,
,16,0,SamG,
,16,2,SamG3,
,16,1,SamG2,
,17,2,SamG3,
,17,1,SamG2,
,17,0,SamG,
,18,2,SamG3,
,18,0,SamG,
,18,1,SamG2,
,19,0,SamG,
,19,2,SamG3,
,19,1,SamG2,
,20,1,SamG2,
,20,0,SamG,
,20,2,SamG3,
,21,1,SamG2,
,21,2,SamG3,
,21,0,SamG,
,22,1,SamG2,
,22,0,SamG,
,22,2,SamG3,
,23,1,SamG2,
,23,0,SamG,
,23,2,SamG3,
,24,2,SamG3,
,24,1,SamG2,
,24,0,SamG,
,25,2,SamG3,
,25,0,SamG,
,25,1,SamG2,
,26,1,SamG2,
,26,0,SamG,
,26,2,SamG3,
,27,2,SamG3,
,27,0,SamG,
,27,1,SamG2,
,28,0,SamG,
,28,2,SamG3,
,28,1,SamG2,
,29,2,SamG3,
,29,1,SamG2,
,29,0,SamG,
,30,1,SamG2,
,30,2,SamG3,
,30,0,SamG,
,31,2,SamG3,
,31,0,SamG,
,31,1,SamG2,
,32,0,SamG,
,32,2,SamG3,
,32,1,SamG2,
,33,2,SamG3,
,33,1,SamG2,
,33,0,SamG,
,34,1,SamG2,
,34,2,SamG3,
,34,0,SamG,
,35,2,SamG3,
,35,1,SamG2,
,35,0,SamG,
,36,2,SamG3,
,36,1,SamG2,
,36,0,SamG,
,37,2,SamG3,
,37,1,SamG2,
,37,0,SamG,
,38,0,SamG,
,38,1,SamG2,
,38,2,SamG3,
,39,2,SamG3,
,39,1,SamG2,
,39,0,SamG,
,40,1,SamG2,
,40,2,SamG3,
,40,0,SamG,
,41,2,SamG3,
,41,1,SamG2,
,41,0,SamG,
,42,0,SamG,
,42,2,SamG3,
,42,1,SamG2,
,43,1,SamG2,
,43,0,SamG,
,43,2,SamG3,
,44,0,SamG,
,44,2,SamG3,
,44,1,SamG2,
,45,2,SamG3,
,45,0,SamG,
,45,1,SamG2,
,46,0,SamG,
,46,2,SamG3,
,46,1,SamG2,
,47,2,SamG3,
,47,1,SamG2,
,47,0,SamG,
,48,2,SamG3,
,48,1,SamG2,
,48,0,SamG,
,49,2,SamG3,
,49,1,SamG2,
,49,0,SamG,
,50,0,SamG,
,50,1,SamG2,
,50,2,SamG3,
,51,1,SamG2,
,51,2,SamG3,
,51,0,SamG,
,52,1,SamG2,
,52,2,SamG3,
,52,0,SamG,
,53,0,SamG,
,53,1,SamG2,
,53,2,SamG3,
,54,2,SamG3,
,54,0,SamG,
,54,1,SamG2,
,55,2,SamG3,
,55,1,SamG2,
,55,0,SamG,
,56,0,SamG,
,56,2,SamG3,
,56,1,SamG2,
,57,1,SamG2,
,57,0,SamG,
,57,2,SamG3,
,58,1,SamG2,
,58,0,SamG,
,58,2,SamG3,
,59,2,SamG3,
,59,0,SamG,
,59,1,SamG2,
,60,2,SamG3,
,60,1,SamG2,
,60,0,SamG,
,61,2,SamG3,
,61,0,SamG,
,61,1,SamG2,
,62,0,SamG,
,62,1,SamG2,
,62,2,SamG3,
,63,2,SamG3,
,63,1,SamG2,
,63,0,SamG,
,64,0,SamG,
,64,2,SamG3,
,64,1,SamG2,
,65,2,SamG3,
,65,1,SamG2,
,65,0,SamG,
,66,0,SamG,
,66,1,SamG2,
,66,2,SamG3,
,67,0,SamG,
,67,1,SamG2,
,67,2,SamG3,
,68,2,SamG3,
,68,1,SamG2,
,68,0,SamG,
,69,2,SamG3,
,69,0,SamG,
,69,1,SamG2,
,70,1,SamG2,
,70,0,SamG,
,70,2,SamG3,
,71,0,SamG,
,71,2,SamG3,
,71,1,SamG2,
,72,1,SamG2,
,72,2,SamG3,
,72,0,SamG,
,73,0,SamG,
,73,2,SamG3,
,73,1,SamG2,
,74,2,SamG3,
,74,1,SamG2,
,74,0,SamG,
,75,1,SamG2,
,75,2,SamG3,
,75,0,SamG,
,76,1,SamG2,
,76,0,SamG,
,76,2,SamG3,
,77,2,SamG3,
,77,1,SamG2,
,77,0,SamG,
,78,2,SamG3,
,78,1,SamG2,
,78,0,SamG,
,79,1,SamG2,
,79,0,SamG,
,79,2,SamG3,
,80,1,SamG2,
,80,0,SamG,
,80,2,SamG3,
,81,1,SamG2,
,81,0,SamG,
,81,2,SamG3,
,82,2,SamG3,
,82,1,SamG2,
,82,0,SamG,
,83,0,SamG,
,83,2,SamG3,
,83,1,SamG2,
,84,0,SamG,
,84,2,SamG3,
,84,1,SamG2,
,85,0,SamG,
,85,2,SamG3,
,85,1,SamG2,
,86,0,SamG,
,86,1,SamG2,
,86,2,SamG3,
,87,2,SamG3,
,87,1,SamG2,
,87,0,SamG,
,88,2,SamG3,
,88,0,SamG,
,88,1,SamG2,
,89,1,SamG2,
,89,0,SamG,
,89,2,SamG3,
,90,1,SamG2,
,90,0,SamG,
,90,2,SamG3,
,91,0,SamG,
,91,2,SamG3,
,91,1,SamG2,
,92,2,SamG3,
,92,1,SamG2,
,92,0,SamG,
,93,1,SamG2,
,93,2,SamG3,
,93,0,SamG,
,94,1,SamG2,
,94,0,SamG,
,94,2,SamG3,
,95,1,SamG2,
,95,0,SamG,
,95,2,SamG3,
,96,0,SamG,
,96,2,SamG3,
,96,1,SamG2,
,97,0,SamG,
,97,1,SamG2,
,97,2,SamG3,
,98,0,SamG,
,98,1,SamG2,
,98,2,SamG3,
,99,2,SamG3,
,99,1,SamG2,
,99,0,SamG,
,100,2,SamG3,
,100,1,SamG2,
,100,0,SamG,
