currSessionId,currGameId,currRoundId,playerId,playerType,playerCurrInvestEcon,playerCurrInvestEnv,playerEconState,envState
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,1,4,0.04,0.46
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,0,AI-RANDOM,AI-RANDOM,3,2,0.15,0.46
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,0,AI-RANDOM,AI-RANDOM,5,0,0.12,0.46
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,1,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,1,4,0.02,0.48
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,2,AI-RANDOM,AI-RANDOM,0,5,0.03000001,0.79
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,2,AI-RANDOM,AI-RANDOM,0,5,0.11,0.79
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,1,AI-RANDOM,AI-RANDOM,0,5,0.1,0.48
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,1,AI-RANDOM,AI-RANDOM,4,1,0.2,0.48
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.79
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,3,AI-RANDOM,AI-RANDOM,0,5,0.01000001,0.81
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,3,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.81
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,3,AI-RANDOM,AI-RANDOM,0,5,0.04999999,0.81
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,4,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.77
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,4,AI-RANDOM,AI-RANDOM,5,0,0.12,0.77
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,5,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,2,3,0.009999998,0.76
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,4,AI-RANDOM,AI-RANDOM,0,5,0,0.77
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,5,AI-RANDOM,AI-RANDOM,0,5,0,0.76
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,5,AI-RANDOM,AI-RANDOM,0,5,0.03999998,0.76
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,6,AI-RANDOM,AI-RANDOM,3,2,0.12,0.74
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,6,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.74
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,6,AI-RANDOM,AI-RANDOM,2,3,0,0.74
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,7,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.65
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,7,AI-RANDOM,AI-RANDOM,5,0,0.15,0.65
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,7,AI-RANDOM,AI-RANDOM,4,1,0.11,0.65
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,8,AI-RANDOM,AI-RANDOM,0,5,0.05000001,0.75
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,9,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.73
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,9,AI-RANDOM,AI-RANDOM,1,4,0,0.73
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,8,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.75
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,8,AI-RANDOM,AI-RANDOM,4,1,0.24,0.75
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,9,AI-RANDOM,AI-RANDOM,1,4,0.17,0.73
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,10,AI-RANDOM,AI-RANDOM,4,1,0.24,0.83
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,10,AI-RANDOM,AI-RANDOM,2,3,0.02,0.83
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,10,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,1,4,0,0.83
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,11,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,1,4,0,0.68
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,11,AI-RANDOM,AI-RANDOM,5,0,0.27,0.68
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,12,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.72
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,12,AI-RANDOM,AI-RANDOM,1,4,0,0.72
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,11,AI-RANDOM,AI-RANDOM,0,5,0,0.68
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,12,AI-RANDOM,AI-RANDOM,2,3,0.33,0.72
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,13,AI-RANDOM,AI-RANDOM,3,2,0.08,0.76
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,13,AI-RANDOM,AI-RANDOM,5,0,0.43,0.76
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,13,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,1,4,0,0.76
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,14,AI-RANDOM,AI-RANDOM,0,5,0.02,0.76
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,14,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,1,4,0.02,0.76
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,14,AI-RANDOM,AI-RANDOM,1,4,0.36,0.76
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,16,AI-RANDOM,AI-RANDOM,3,2,0.07000001,0.71
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,15,AI-RANDOM,AI-RANDOM,3,2,0.01000001,0.85
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,15,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,1,4,0.04,0.85
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,15,AI-RANDOM,AI-RANDOM,1,4,0.31,0.85
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,16,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.71
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,16,AI-RANDOM,AI-RANDOM,2,3,0.32,0.71
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,17,AI-RANDOM,AI-RANDOM,0,5,0.28,0.6400001
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,17,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,1,4,0,0.6400001
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,17,AI-RANDOM,AI-RANDOM,5,0,0.13,0.6400001
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,18,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.66
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,18,AI-RANDOM,AI-RANDOM,2,3,0.18,0.66
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,18,AI-RANDOM,AI-RANDOM,4,1,0.37,0.66
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,19,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.73
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,19,AI-RANDOM,AI-RANDOM,2,3,0.36,0.73
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,19,AI-RANDOM,AI-RANDOM,3,2,0.15,0.73
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,20,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.82
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,20,AI-RANDOM,AI-RANDOM,5,0,0.24,0.82
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,20,AI-RANDOM,AI-RANDOM,3,2,0.42,0.82
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,21,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.7
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,21,AI-RANDOM,AI-RANDOM,5,0,0.59,0.7
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,21,AI-RANDOM,AI-RANDOM,4,1,0.37,0.7
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,22,AI-RANDOM,AI-RANDOM,4,1,0.5100001,0.81
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,22,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.81
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,22,AI-RANDOM,AI-RANDOM,3,2,0.6,0.81
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,23,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.71
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,23,AI-RANDOM,AI-RANDOM,0,5,0.4300001,0.71
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,24,AI-RANDOM,AI-RANDOM,4,1,0.5300001,0.71
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,23,AI-RANDOM,AI-RANDOM,1,4,0.55,0.71
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,24,AI-RANDOM,AI-RANDOM,3,2,0.56,0.71
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,24,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.71
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,25,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.78
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,25,AI-RANDOM,AI-RANDOM,3,2,0.5400001,0.78
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,25,AI-RANDOM,AI-RANDOM,1,4,0.52,0.78
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,26,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.73
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,27,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.8
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,27,AI-RANDOM,AI-RANDOM,2,3,0.4999999,0.8
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,26,AI-RANDOM,AI-RANDOM,1,4,0.5400001,0.73
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,26,AI-RANDOM,AI-RANDOM,1,4,0.4899999,0.73
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,27,AI-RANDOM,AI-RANDOM,3,2,0.6400001,0.8
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,28,AI-RANDOM,AI-RANDOM,0,5,0.3899999,0.8
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,28,AI-RANDOM,AI-RANDOM,4,1,0.7100001,0.8
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,28,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,1,4,0,0.8
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,29,AI-RANDOM,AI-RANDOM,4,1,0.4399999,0.81
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,29,AI-RANDOM,AI-RANDOM,1,4,0.6800001,0.81
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,29,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,1,4,0,0.81
"041623ZGZ['CI', 'RANDOM', 'RANDOM']",1,30,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,5,0,0.74
