sessionId,currGameId,condition,outcome,env_state,playerId,pos,type,econ_state,econ_history_perc,env_history_perc,num_played_rounds
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CI']",VICTORY,0.72,1,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,35,470,101
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CI']",VICTORY,0.72,2,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.97,479,26,101
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CI']",VICTORY,0.72,0,2,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,35,470,101
"052106CZK['CC', 'CC', 'CI']",2,"['CC', 'CC', 'DC']",VICTORY,0.72,2,2,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0,33,472,101
"052106CZK['CC', 'CC', 'CI']",2,"['CC', 'CC', 'DC']",VICTORY,0.72,1,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,30,475,101
"052106CZK['CC', 'CC', 'CI']",2,"['CC', 'CC', 'DC']",VICTORY,0.72,0,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,31,474,101
"052106CZK['CC', 'CC', 'CI']",3,"['CC', 'CC', 'DI']",VICTORY,0.77,0,2,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,25,480,101
"052106CZK['CC', 'CC', 'CI']",3,"['CC', 'CC', 'DI']",VICTORY,0.77,2,0,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0.95,480,25,101
"052106CZK['CC', 'CC', 'CI']",3,"['CC', 'CC', 'DI']",VICTORY,0.77,1,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,41,464,101
"052106CZK['CC', 'CC', 'CI']",4,"['CC', 'CC', 'RANDOM']",LOSS,0,0,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0.37,19,6,5
"052106CZK['CC', 'CC', 'CI']",4,"['CC', 'CC', 'RANDOM']",LOSS,0,1,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0.48,19,6,5
"052106CZK['CC', 'CC', 'CI']",4,"['CC', 'CC', 'RANDOM']",LOSS,0,2,2,AI-RANDOM,0.12,12,13,5
"052106CZK['CC', 'CC', 'CI']",5,"['CC', 'CI', 'CI']",VICTORY,0.75,0,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0.96,472,33,101
"052106CZK['CC', 'CC', 'CI']",5,"['CC', 'CI', 'CI']",VICTORY,0.75,2,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,20,485,101
"052106CZK['CC', 'CC', 'CI']",5,"['CC', 'CI', 'CI']",VICTORY,0.75,1,1,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,29,476,101
"052106CZK['CC', 'CC', 'CI']",6,"['CC', 'CI', 'DC']",VICTORY,0.74,0,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,33,472,101
"052106CZK['CC', 'CC', 'CI']",6,"['CC', 'CI', 'DC']",VICTORY,0.74,1,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.96,475,30,101
"052106CZK['CC', 'CC', 'CI']",6,"['CC', 'CI', 'DC']",VICTORY,0.74,2,2,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0,26,479,101
"052106CZK['CC', 'CC', 'CI']",7,"['CC', 'CI', 'DI']",VICTORY,0.83,1,1,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,34,471,101
"052106CZK['CC', 'CC', 'CI']",7,"['CC', 'CI', 'DI']",VICTORY,0.83,0,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0.97,479,26,101
"052106CZK['CC', 'CC', 'CI']",7,"['CC', 'CI', 'DI']",VICTORY,0.83,2,2,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,25,480,101
"052106CZK['CC', 'CC', 'CI']",8,"['CC', 'CI', 'RANDOM']",VICTORY,0.6800001,2,1,AI-RANDOM,0.91,249,256,101
"052106CZK['CC', 'CC', 'CI']",8,"['CC', 'CI', 'RANDOM']",VICTORY,0.6800001,1,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.95,471,34,101
"052106CZK['CC', 'CC', 'CI']",8,"['CC', 'CI', 'RANDOM']",VICTORY,0.6800001,0,2,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,31,474,101
"052106CZK['CC', 'CC', 'CI']",9,"['CC', 'DC', 'DC']",VICTORY,0.69,1,1,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0,19,486,101
"052106CZK['CC', 'CC', 'CI']",9,"['CC', 'DC', 'DC']",VICTORY,0.69,0,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,29,476,101
"052106CZK['CC', 'CC', 'CI']",9,"['CC', 'DC', 'DC']",VICTORY,0.69,2,2,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0,33,472,101
"052106CZK['CC', 'CC', 'CI']",10,"['CC', 'DC', 'DI']",LOSS,0,1,1,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.66,38,17,11
"052106CZK['CC', 'CC', 'CI']",10,"['CC', 'DC', 'DI']",LOSS,0,0,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0.96,48,7,11
"052106CZK['CC', 'CC', 'CI']",10,"['CC', 'DC', 'DI']",LOSS,0,2,2,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,7,48,11
"052106CZK['CC', 'CC', 'CI']",11,"['CC', 'DC', 'RANDOM']",VICTORY,0.77,0,2,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,34,471,101
"052106CZK['CC', 'CC', 'CI']",11,"['CC', 'DC', 'RANDOM']",VICTORY,0.77,1,1,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0,31,474,101
"052106CZK['CC', 'CC', 'CI']",11,"['CC', 'DC', 'RANDOM']",VICTORY,0.77,2,0,AI-RANDOM,0.7899999,226,279,101
"052106CZK['CC', 'CC', 'CI']",12,"['CC', 'DI', 'DI']",VICTORY,0.6600001,0,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0.93,478,27,101
"052106CZK['CC', 'CC', 'CI']",12,"['CC', 'DI', 'DI']",VICTORY,0.6600001,2,2,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,29,476,101
"052106CZK['CC', 'CC', 'CI']",12,"['CC', 'DI', 'DI']",VICTORY,0.6600001,1,1,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0.01,31,474,101
"052106CZK['CC', 'CC', 'CI']",13,"['CC', 'DI', 'RANDOM']",VICTORY,0.61,2,1,AI-RANDOM,0.9,262,243,101
"052106CZK['CC', 'CC', 'CI']",13,"['CC', 'DI', 'RANDOM']",VICTORY,0.61,0,2,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,34,471,101
"052106CZK['CC', 'CC', 'CI']",13,"['CC', 'DI', 'RANDOM']",VICTORY,0.61,1,0,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0.96,467,38,101
"052106CZK['CC', 'CC', 'CI']",14,"['CC', 'RANDOM', 'RANDOM']",VICTORY,0.74,0,2,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,26,479,101
"052106CZK['CC', 'CC', 'CI']",14,"['CC', 'RANDOM', 'RANDOM']",VICTORY,0.74,2,1,AI-RANDOM,0.3299999,218,287,101
"052106CZK['CC', 'CC', 'CI']",14,"['CC', 'RANDOM', 'RANDOM']",VICTORY,0.74,1,0,AI-RANDOM,0.75,236,269,101
"052106CZK['CC', 'CC', 'CI']",15,"['CI', 'CI', 'CI']",LOSS,0,2,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.29,20,5,5
"052106CZK['CC', 'CC', 'CI']",15,"['CI', 'CI', 'CI']",LOSS,0,0,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.54,23,2,5
"052106CZK['CC', 'CC', 'CI']",15,"['CI', 'CI', 'CI']",LOSS,0,1,1,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.47,20,5,5
"052106CZK['CC', 'CC', 'CI']",16,"['CI', 'CI', 'DC']",LOSS,0,0,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.96,74,11,17
"052106CZK['CC', 'CC', 'CI']",16,"['CI', 'CI', 'DC']",LOSS,0,2,2,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.04,7,78,17
"052106CZK['CC', 'CC', 'CI']",16,"['CI', 'CI', 'DC']",LOSS,0,1,1,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.95,78,7,17
"052106CZK['CC', 'CC', 'CI']",17,"['CI', 'CI', 'DI']",LOSS,0,1,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.41,16,9,5
"052106CZK['CC', 'CC', 'CI']",17,"['CI', 'CI', 'DI']",LOSS,0,2,0,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0.44,19,6,5
"052106CZK['CC', 'CC', 'CI']",17,"['CI', 'CI', 'DI']",LOSS,0,0,1,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.4399999,20,5,5
"052106CZK['CC', 'CC', 'CI']",18,"['CI', 'CI', 'RANDOM']",VICTORY,0.85,2,0,AI-RANDOM,0.89,232,273,101
"052106CZK['CC', 'CC', 'CI']",18,"['CI', 'CI', 'RANDOM']",VICTORY,0.85,0,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,28,477,101
"052106CZK['CC', 'CC', 'CI']",18,"['CI', 'CI', 'RANDOM']",VICTORY,0.85,1,1,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,31,474,101
"052106CZK['CC', 'CC', 'CI']",19,"['CI', 'DC', 'DC']",LOSS,0,1,0,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.91,71,9,16
"052106CZK['CC', 'CC', 'CI']",19,"['CI', 'DC', 'DC']",LOSS,0,0,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,4,76,16
"052106CZK['CC', 'CC', 'CI']",19,"['CI', 'DC', 'DC']",LOSS,0,2,1,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.91,71,9,16
"052106CZK['CC', 'CC', 'CI']",20,"['CI', 'DC', 'DI']",LOSS,0,1,2,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0,4,26,6
"052106CZK['CC', 'CC', 'CI']",20,"['CI', 'DC', 'DI']",LOSS,0,0,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.65,28,2,6
"052106CZK['CC', 'CC', 'CI']",20,"['CI', 'DC', 'DI']",LOSS,0,2,1,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0.5399999,26,4,6
"052106CZK['CC', 'CC', 'CI']",21,"['CI', 'DC', 'RANDOM']",VICTORY,0.32,2,1,AI-RANDOM,0.91,248,257,101
"052106CZK['CC', 'CC', 'CI']",21,"['CI', 'DC', 'RANDOM']",VICTORY,0.32,1,0,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.93,469,36,101
"052106CZK['CC', 'CC', 'CI']",21,"['CI', 'DC', 'RANDOM']",VICTORY,0.32,0,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,33,472,101
"052106CZK['CC', 'CC', 'CI']",22,"['CI', 'DI', 'DI']",VICTORY,0.71,1,0,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0.02,31,474,101
"052106CZK['CC', 'CC', 'CI']",22,"['CI', 'DI', 'DI']",VICTORY,0.71,0,1,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,26,479,101
"052106CZK['CC', 'CC', 'CI']",22,"['CI', 'DI', 'DI']",VICTORY,0.71,2,2,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,24,481,101
"052106CZK['CC', 'CC', 'CI']",23,"['CI', 'DI', 'RANDOM']",VICTORY,0.75,0,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,37,468,101
"052106CZK['CC', 'CC', 'CI']",23,"['CI', 'DI', 'RANDOM']",VICTORY,0.75,2,0,AI-RANDOM,0.7299999,254,251,101
"052106CZK['CC', 'CC', 'CI']",23,"['CI', 'DI', 'RANDOM']",VICTORY,0.75,1,1,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,26,479,101
"052106CZK['CC', 'CC', 'CI']",24,"['CI', 'RANDOM', 'RANDOM']",LOSS,0,1,1,AI-RANDOM,0.4100001,45,40,17
"052106CZK['CC', 'CC', 'CI']",24,"['CI', 'RANDOM', 'RANDOM']",LOSS,0,0,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.94,77,8,17
