sessionId,gameId,roundId,playerId,condition,gameState,envState,playerEconState,playerType,playerInvestEcon,playerInvestEnv,playerInvHistEcon,playerInvHistEnv,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor,mood
"132307FLO['CC', 'CC', 'CI']",1,0,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.62,0.11,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,3,2,3,2,Fear,9.12,0.00,1.90,0.00,0.00,0.00,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.66,5.52,0.00,0.00,0.00,0.00,-1.21
"132307FLO['CC', 'CC', 'CI']",1,1,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.54,0.13,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,5,5,Fear,9.12,0.00,2.29,0.00,0.00,0.00,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.36,5.06,0.00,0.00,0.00,0.00,-2.79
"132307FLO['CC', 'CC', 'CI']",1,1,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.54,0.06,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,4,6,Fear,9.12,0.00,2.29,0.00,0.00,0.00,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.36,5.06,0.00,0.00,0.00,0.00,-2.79
"132307FLO['CC', 'CC', 'CI']",1,0,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.62,0.09,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,2,3,Fear,9.12,0.00,1.90,0.00,0.00,0.00,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.66,5.52,0.00,0.00,0.00,0.00,-1.21
"132307FLO['CC', 'CC', 'CI']",1,0,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.62,0.07,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,1,4,1,4,Hope,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.25,0.00,0.00,0.00,1.66,9.12,0.00,0.00,0.00,0.00,2.64
"132307FLO['CC', 'CC', 'CI']",1,1,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.54,0.009999998,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,2,3,3,7,Hope,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.14,0.00,0.00,0.00,2.32,9.12,0.00,0.00,0.00,0.00,6.20
"132307FLO['CC', 'CC', 'CI']",1,2,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.33,0.06999999,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,8,7,Hope,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.33,0.00,0.00,0.00,3.21,9.12,0.00,0.00,0.00,0.00,9.66
"132307FLO['CC', 'CC', 'CI']",1,2,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.33,0.08999999,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,4,1,9,6,Fear,9.12,0.00,2.82,0.00,0.00,0.00,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,4.45,0.00,0.00,0.00,0.00,-4.92
"132307FLO['CC', 'CC', 'CI']",1,2,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.33,0.01000001,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,3,2,7,8,Fear,9.12,0.00,2.82,0.00,0.00,0.00,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,4.45,0.00,0.00,0.00,0.00,-4.92
"132307FLO['CC', 'CC', 'CI']",1,3,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.47,0.21,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,12,8,Hope,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.07,9.12,0.00,0.00,0.00,0.00,9.66
