sessionId,gameId,roundId,playerId,condition,gameState,envState,playerEconState,playerType,playerInvestEcon,playerInvestEnv,playerInvHistEcon,playerInvHistEnv,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor,mood
"122357NUI['CC', 'CC', 'CI']",1,0,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.59,0.12,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,2,3,2,3,Admiration,6.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,0.00,0.00,0.00,0.00,6.39,0.00,0.00,0.00,1.66,1.61,0.00,0.00,0.00,0.00,5.56
"122357NUI['CC', 'CC', 'CI']",1,0,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.59,0.06,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,1,4,1,4,Reproach,6.02,0.00,6.02,0.00,0.00,0.00,0.00,0.00,5.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.66,0.00,0.00,0.00,0.00,0.00,-6.87
"122357NUI['CC', 'CC', 'CI']",1,1,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.64,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,1,9,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,1,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.64,0.13,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,1,4,5,5,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,0,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.59,0.18,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,4,1,4,1,Reproach,6.02,0.00,6.02,0.00,0.00,0.00,0.00,0.00,5.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.66,0.00,0.00,0.00,0.00,0.00,-6.87
"122357NUI['CC', 'CC', 'CI']",1,1,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.64,0.15,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,7,3,Admiration,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.83,0.00,0.00,0.00,3.05,2.80,0.00,0.00,0.00,0.00,9.66
"122357NUI['CC', 'CC', 'CI']",1,2,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.79,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,1,14,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,2,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.79,0.24,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,12,3,Admiration,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.83,0.00,0.00,0.00,4.07,2.80,0.00,0.00,0.00,0.00,9.66
"122357NUI['CC', 'CC', 'CI']",1,2,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.79,0.01000001,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,5,10,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,3,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.67,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,1,19,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,3,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.67,0.29,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,16,4,Admiration,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.83,0.00,0.00,0.00,4.07,2.80,0.00,0.00,0.00,0.00,9.66
"122357NUI['CC', 'CC', 'CI']",1,3,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.67,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,5,15,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,4,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.76,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,1,24,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,5,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.57,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,5,25,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,5,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.57,0.41,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,25,5,Admiration,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.83,0.00,0.00,0.00,4.07,2.80,0.00,0.00,0.00,0.00,9.66
"122357NUI['CC', 'CC', 'CI']",1,4,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.76,0.36,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,21,4,Admiration,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.83,0.00,0.00,0.00,4.07,2.80,0.00,0.00,0.00,0.00,9.66
"122357NUI['CC', 'CC', 'CI']",1,4,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.76,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,5,20,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,5,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.57,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,1,29,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,6,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.55,0.46,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,30,5,Admiration,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.83,0.00,0.00,0.00,4.07,2.80,0.00,0.00,0.00,0.00,9.66
"122357NUI['CC', 'CC', 'CI']",1,6,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.55,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,5,30,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,6,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.55,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,1,4,2,33,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,7,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.7799999,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,5,35,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,7,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.7799999,0.56,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,34,6,Admiration,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.83,0.00,0.00,0.00,4.07,2.80,0.00,0.00,0.00,0.00,9.66
