sessionId,gameId,roundId,playerId,condition,gameState,envState,playerEconState,playerType,playerInvestEcon,playerInvestEnv,playerInvHistEcon,playerInvHistEnv,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor,"mood"
"191402MKD['MCTS', 'RANDOM', 'RANDOM']",1,0,0,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.6,0.02,AI-MCTS,0,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
"191402MKD['MCTS', 'RANDOM', 'RANDOM']",1,0,1,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.6,0,AI-RANDOM,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
"191402MKD['MCTS', 'RANDOM', 'RANDOM']",1,0,2,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.6,0.07000001,AI-RANDOM,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
"191402MKD['MCTS', 'RANDOM', 'RANDOM']",1,1,0,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.49,0.03999999,AI-MCTS,3,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,
"191402MKD['MCTS', 'RANDOM', 'RANDOM']",1,1,1,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.49,0,AI-RANDOM,0,5,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
"191402MKD['MCTS', 'RANDOM', 'RANDOM']",1,1,2,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.49,0.13,AI-RANDOM,4,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,
"191402MKD['MCTS', 'RANDOM', 'RANDOM']",1,2,0,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.48,0,AI-MCTS,1,4,6,9,,,,,,,,,,,,,,,,,,,,,,,,,
"191402MKD['MCTS', 'RANDOM', 'RANDOM']",1,2,1,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.48,0.06,AI-RANDOM,3,2,3,12,,,,,,,,,,,,,,,,,,,,,,,,,
"191402MKD['MCTS', 'RANDOM', 'RANDOM']",1,2,2,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.48,0.12,AI-RANDOM,1,4,7,8,,,,,,,,,,,,,,,,,,,,,,,,,
"191403CFF['RANDOM_CMP', 'RANDOM', 'RANDOM']",1,0,0,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.35,0.14,AI-RANDOM,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
"191403CFF['RANDOM_CMP', 'RANDOM', 'RANDOM']",1,0,1,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.35,0.02,AI-RANDOM,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
"191403CFF['RANDOM_CMP', 'RANDOM', 'RANDOM']",1,0,2,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.35,0.14,AI-RANDOM,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
"191403CFF['RANDOM_CMP', 'RANDOM', 'RANDOM']",1,1,0,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.1699999,0.13,AI-RANDOM,2,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
"191403CFF['RANDOM_CMP', 'RANDOM', 'RANDOM']",1,1,1,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.1699999,0,AI-RANDOM,4,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,,
"191403CFF['RANDOM_CMP', 'RANDOM', 'RANDOM']",1,1,2,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.1699999,0.18,AI-RANDOM,4,1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
"191403CFF['RANDOM_CMP', 'RANDOM', 'RANDOM']",1,2,0,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.2799999,0.02000001,AI-RANDOM,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,
"191403CFF['RANDOM_CMP', 'RANDOM', 'RANDOM']",1,2,1,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.2799999,0,AI-RANDOM,1,4,5,10,,,,,,,,,,,,,,,,,,,,,,,,,
"191403CFF['RANDOM_CMP', 'RANDOM', 'RANDOM']",1,2,2,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.2799999,0.15,AI-RANDOM,3,2,11,4,,,,,,,,,,,,,,,,,,,,,,,,,
"191406NSA['MCTS', 'RANDOM', 'RANDOM']",1,0,0,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.5,0.03,AI-MCTS,1,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
