sessionId,currGameId,condition,outcome,env_state,playerId,pos,type,econ_state,econ_history_perc,env_history_perc,num_played_rounds
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",1,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1999999,1,2,AI_RANDOM,-0.9000001,113,112,45
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",1,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1999999,0,0,AI_RANDOM,0.8499999,124,101,45
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",1,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1999999,2,1,AI_RANDOM,0.6,103,122,45
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",2,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.2400001,2,1,AI_RANDOM,-0.05000001,18,12,6
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",2,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.2400001,0,2,AI_RANDOM,-0.29,8,22,6
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",2,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.2400001,1,0,AI_RANDOM,0.13,18,12,6
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",3,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.21,0,0,AI_RANDOM,0.44,12,3,3
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",3,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.21,1,2,AI_RANDOM,-0.21,4,11,3
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",3,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.21,2,1,AI_RANDOM,-0.16,7,8,3
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",4,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,1.979998,2,1,AI_RANDOM,0.39,136,119,51
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",4,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,1.979998,0,2,AI_RANDOM,-0.34,102,153,51
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",4,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,1.979998,1,0,AI_RANDOM,1,147,108,51
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",5,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.03000021,0,0,AI_RANDOM,0.9999999,88,67,31
